uf,ano,valor,regiao
Rondônia,1994,150744.0,Norte
Acre,1994,22658.0,Norte
Amazonas,1994,127265.0,Norte
Roraima,1994,38382.0,Norte
Pará,1994,440625.0,Norte
Maranhão,1994,395000.0,Nordeste
Piauí,1994,327096.0,Nordeste
Ceará,1994,708696.0,Nordeste
Rio Grande do Norte,1994,192475.0,Nordeste
Pernambuco,1994,527256.0,Nordeste
Bahia,1994,994130.0,Nordeste
Espírito Santo,1994,256603.0,Sudeste
Santa Catarina,1994,437164.0,Sul
Mato Grosso,1994,174627.0,Centro-Oeste
Goiás,1994,209872.0,Centro-Oeste
Rondônia,1995,169930.0,Norte
Acre,1995,57518.0,Norte
Amazonas,1995,236612.0,Norte
Roraima,1995,56559.0,Norte
Pará,1995,552664.0,Norte
Amapá,1995,32559.0,Norte
Maranhão,1995,482285.0,Nordeste
Piauí,1995,288726.0,Nordeste
Ceará,1995,731122.0,Nordeste
Rio Grande do Norte,1995,257873.0,Nordeste
Paraíba,1995,160631.0,Nordeste
Pernambuco,1995,1191428.0,Nordeste
Alagoas,1995,178302.0,Nordeste
Sergipe,1995,237617.0,Nordeste
Bahia,1995,722003.0,Nordeste
Espírito Santo,1995,397685.0,Sudeste
Rio de Janeiro,1995,906575.0,Sudeste
São Paulo,1995,2694310.0,Sudeste
Paraná,1995,610367.0,Sul
Santa Catarina,1995,529270.0,Sul
Rio Grande do Sul,1995,1096689.0,Sul
Mato Grosso,1995,196972.0,Centro-Oeste
Goiás,1995,590541.0,Centro-Oeste
Distrito Federal,1995,1297.0,Centro-Oeste
Rondônia,1996,260583.0,Norte
Acre,1996,45907.0,Norte
Amazonas,1996,279674.0,Norte
Roraima,1996,58502.0,Norte
Pará,1996,722825.0,Norte
Amapá,1996,43911.0,Norte
Tocantins,1996,162309.0,Norte
Maranhão,1996,567243.0,Nordeste
Piauí,1996,284130.0,Nordeste
Ceará,1996,894330.0,Nordeste
Rio Grande do Norte,1996,303590.0,Nordeste
Paraíba,1996,323476.0,Nordeste
Pernambuco,1996,1130697.0,Nordeste
Alagoas,1996,299818.0,Nordeste
Sergipe,1996,242572.0,Nordeste
Bahia,1996,994587.0,Nordeste
Espírito Santo,1996,411887.0,Sudeste
Rio de Janeiro,1996,779704.0,Sudeste
São Paulo,1996,2685627.0,Sudeste
Paraná,1996,904583.0,Sul
Santa Catarina,1996,476830.0,Sul
Rio Grande do Sul,1996,1011888.0,Sul
