uf,ano,valor,regiao
Rondônia,1994,42.76,Norte
Acre,1994,20.53,Norte
Amazonas,1994,20.15,Norte
Roraima,1994,64.06,Norte
Pará,1994,32.44,Norte
Maranhão,1994,27.43,Nordeste
Piauí,1994,62.22,Nordeste
Ceará,1994,49.2,Nordeste
Rio Grande do Norte,1994,41.34,Nordeste
Pernambuco,1994,33.46,Nordeste
Bahia,1994,42.98,Nordeste
Espírito Santo,1994,55.22,Sudeste
Santa Catarina,1994,51.6,Sul
Mato Grosso,1994,31.76,Centro-Oeste
Goiás,1994,22.37,Centro-Oeste
Rondônia,1995,50.8,Norte
Acre,1995,46.61,Norte
Amazonas,1995,35.82,Norte
Roraima,1995,88.84,Norte
Pará,1995,40.11,Norte
Amapá,1995,34.68,Norte
Maranhão,1995,35.69,Nordeste
Piauí,1995,48.16,Nordeste
Ceará,1995,50.06,Nordeste
Rio Grande do Norte,1995,49.23,Nordeste
Paraíba,1995,22.82,Nordeste
Pernambuco,1995,78.01,Nordeste
Alagoas,1995,28.35,Nordeste
Sergipe,1995,67.66,Nordeste
Bahia,1995,28.19,Nordeste
Espírito Santo,1995,74.91,Sudeste
Rio de Janeiro,1995,43.29,Sudeste
São Paulo,1995,45.01,Sudeste
Paraná,1995,35.3,Sul
Santa Catarina,1995,55.47,Sul
Rio Grande do Sul,1995,65.25,Sul
Mato Grosso,1995,37.67,Centro-Oeste
Goiás,1995,69.81,Centro-Oeste
Distrito Federal,1995,0.34,Centro-Oeste
Rondônia,1996,76.05,Norte
Acre,1996,36.59,Norte
Amazonas,1996,49.88,Norte
Roraima,1996,89.18,Norte
Pará,1996,51.26,Norte
Amapá,1996,44.75,Norte
Tocantins,1996,65.44,Norte
Maranhão,1996,41.05,Nordeste
Piauí,1996,46.4,Nordeste
Ceará,1996,60.28,Nordeste
Rio Grande do Norte,1996,56.57,Nordeste
Paraíba,1996,45.23,Nordeste
Pernambuco,1996,72.86,Nordeste
Alagoas,1996,46.58,Nordeste
Sergipe,1996,67.28,Nordeste
Bahia,1996,38.02,Nordeste
Espírito Santo,1996,75.62,Sudeste
Rio de Janeiro,1996,36.26,Sudeste
São Paulo,1996,44.86,Sudeste
Paraná,1996,51.84,Sul
Santa Catarina,1996,48.53,Sul
Rio Grande do Sul,1996,58.9,Sul
Mato Grosso do Sul,1996,39.02,Centro-Oeste
Mato Grosso,1996,37.44,Centro-Oeste
Goiás,1996,66.93,Centro-Oeste
Distrito Federal,1996,55.99,Centro-Oeste
Rondônia,1997,83.33,Norte
Acre,1997,67.56,Norte
Amazonas,1997,72.01,Norte
Roraima,1997,80.26,Norte
Pará,1997,67.09,Norte
Amapá,1997,52.06,Norte
Tocantins,1997,56.24,Norte
Maranhão,1997,60.33,Nordeste
Piauí,1997,57.65,Nordeste
Ceará,1997,74.0,Nordeste
Rio Grande do Norte,1997,61.55,Nordeste
Paraíba,1997,63.28,Nordeste
Pernambuco,1997,82.44,Nordeste
Alagoas,1997,50.95,Nordeste
Sergipe,1997,73.92,Nordeste
Bahia,1997,59.22,Nordeste
Minas Gerais,1997,62.6,Sudeste
Espírito Santo,1997,77.78,Sudeste
Rio de Janeiro,1997,69.12,Sudeste
São Paulo,1997,74.7,Sudeste
Paraná,1997,76.53,Sul
Santa Catarina,1997,73.29,Sul
Rio Grande do Sul,1997,65.07,Sul
Mato Grosso do Sul,1997,70.62,Centro-Oeste
Mato Grosso,1997,74.22,Centro-Oeste
Goiás,1997,70.07,Centro-Oeste
Distrito Federal,1997,64.17,Centro-Oeste
Rondônia,1998,93.26,Norte
Acre,1998,66.38,Norte
Amazonas,1998,70.62,Norte
Roraima,1998,97.45,Norte
Pará,1998,67.46,Norte
Amapá,1998,73.77,Norte
Tocantins,1998,86.73,Norte
Maranhão,1998,68.09,Nordeste
Piauí,1998,64.59,Nordeste
Ceará,1998,64.09,Nordeste
Rio Grande do Norte,1998,58.99,Nordeste
Paraíba,1998,61.39,Nordeste
Pernambuco,1998,81.41,Nordeste
Alagoas,1998,54.52,Nordeste
Sergipe,1998,71.66,Nordeste
Bahia,1998,64.03,Nordeste
Minas Gerais,1998,62.43,Sudeste
Espírito Santo,1998,89.21,Sudeste
Rio de Janeiro,1998,73.78,Sudeste
São Paulo,1998,79.73,Sudeste
Paraná,1998,63.4,Sul
Santa Catarina,1998,71.64,Sul
Rio Grande do Sul,1998,63.25,Sul
Mato Grosso do Sul,1998,75.01,Centro-Oeste
Mato Grosso,1998,78.08,Centro-Oeste
Goiás,1998,73.23,Centro-Oeste
Distrito Federal,1998,84.43,Centro-Oeste
Rondônia,1999,82.31,Norte
Acre,1999,85.61,Norte
Amazonas,1999,72.19,Norte
Roraima,1999,93.76,Norte
Pará,1999,82.95,Norte
Amapá,1999,83.48,Norte
Tocantins,1999,87.82,Norte
Maranhão,1999,81.1,Nordeste
Piauí,1999,81.53,Nordeste
Ceará,1999,88.63,Nordeste
Rio Grande do Norte,1999,78.8,Nordeste
Paraíba,1999,81.68,Nordeste
Pernambuco,1999,87.47,Nordeste
Alagoas,1999,78.3,Nordeste
Sergipe,1999,98.68,Nordeste
Bahia,1999,82.45,Nordeste
Minas Gerais,1999,90.14,Sudeste
Espírito Santo,1999,94.67,Sudeste
Rio de Janeiro,1999,91.77,Sudeste
São Paulo,1999,92.11,Sudeste
Paraná,1999,75.09,Sul
Santa Catarina,1999,82.85,Sul
Rio Grande do Sul,1999,85.9,Sul
Mato Grosso do Sul,1999,92.05,Centro-Oeste
Mato Grosso,1999,84.87,Centro-Oeste
Goiás,1999,87.36,Centro-Oeste
Distrito Federal,1999,86.24,Centro-Oeste
Rondônia,2000,79.59,Norte
Acre,2000,66.79,Norte
Amazonas,2000,70.91,Norte
Roraima,2000,83.94,Norte
Pará,2000,77.23,Norte
Amapá,2000,70.61,Norte
Tocantins,2000,80.63,Norte
Maranhão,2000,74.81,Nordeste
Piauí,2000,78.74,Nordeste
Ceará,2000,78.82,Nordeste
Rio Grande do Norte,2000,70.21,Nordeste
Paraíba,2000,72.88,Nordeste
Pernambuco,2000,76.93,Nordeste
Alagoas,2000,72.36,Nordeste
Sergipe,2000,77.96,Nordeste
Bahia,2000,74.08,Nordeste
Minas Gerais,2000,79.7,Sudeste
Espírito Santo,2000,79.36,Sudeste
Rio de Janeiro,2000,75.16,Sudeste
São Paulo,2000,76.19,Sudeste
Paraná,2000,78.72,Sul
Santa Catarina,2000,75.49,Sul
Rio Grande do Sul,2000,71.91,Sul
Mato Grosso do Sul,2000,85.08,Centro-Oeste
Mato Grosso,2000,84.34,Centro-Oeste
Goiás,2000,82.76,Centro-Oeste
Distrito Federal,2000,73.49,Centro-Oeste
Rondônia,2001,83.7,Norte
Acre,2001,76.77,Norte
Amazonas,2001,70.68,Norte
Roraima,2001,72.67,Norte
Pará,2001,83.43,Norte
Amapá,2001,101.5,Norte
Tocantins,2001,87.42,Norte
Maranhão,2001,79.09,Nordeste
Piauí,2001,81.18,Nordeste
Ceará,2001,83.18,Nordeste
Rio Grande do Norte,2001,73.12,Nordeste
Paraíba,2001,80.28,Nordeste
Pernambuco,2001,76.73,Nordeste
Alagoas,2001,74.45,Nordeste
Sergipe,2001,79.01,Nordeste
Bahia,2001,81.56,Nordeste
Minas Gerais,2001,90.28,Sudeste
Espírito Santo,2001,80.75,Sudeste
Rio de Janeiro,2001,75.02,Sudeste
São Paulo,2001,76.51,Sudeste
Paraná,2001,81.01,Sul
Santa Catarina,2001,78.11,Sul
Rio Grande do Sul,2001,75.6,Sul
Mato Grosso do Sul,2001,88.66,Centro-Oeste
Mato Grosso,2001,85.97,Centro-Oeste
Goiás,2001,83.87,Centro-Oeste
Distrito Federal,2001,71.77,Centro-Oeste
Rondônia,2002,78.18,Norte
Acre,2002,81.66,Norte
Amazonas,2002,70.98,Norte
Roraima,2002,78.33,Norte
Pará,2002,82.66,Norte
Amapá,2002,75.61,Norte
Tocantins,2002,80.88,Norte
Maranhão,2002,76.93,Nordeste
Piauí,2002,79.67,Nordeste
Ceará,2002,78.97,Nordeste
Rio Grande do Norte,2002,73.2,Nordeste
Paraíba,2002,76.52,Nordeste
Pernambuco,2002,77.76,Nordeste
Alagoas,2002,76.03,Nordeste
Sergipe,2002,78.28,Nordeste
Bahia,2002,76.22,Nordeste
Minas Gerais,2002,75.07,Sudeste
Espírito Santo,2002,78.05,Sudeste
Rio de Janeiro,2002,74.66,Sudeste
São Paulo,2002,73.3,Sudeste
Paraná,2002,77.26,Sul
Santa Catarina,2002,74.59,Sul
Rio Grande do Sul,2002,74.07,Sul
Mato Grosso do Sul,2002,80.84,Centro-Oeste
Mato Grosso,2002,81.93,Centro-Oeste
Goiás,2002,82.66,Centro-Oeste
Distrito Federal,2002,69.15,Centro-Oeste
Rondônia,2003,72.3,Norte
Acre,2003,77.54,Norte
Amazonas,2003,64.77,Norte
Roraima,2003,72.99,Norte
Pará,2003,80.5,Norte
Amapá,2003,76.13,Norte
Tocantins,2003,75.39,Norte
Maranhão,2003,75.58,Nordeste
Piauí,2003,74.41,Nordeste
Ceará,2003,73.21,Nordeste
Rio Grande do Norte,2003,71.76,Nordeste
Paraíba,2003,71.43,Nordeste
